Size,Location
64,riffle
64,riffle
180,riffle
90,riffle
180,riffle
45,riffle
128,riffle
45,riffle
1024,riffle
128,riffle
180,riffle
128,riffle
90,riffle
90,riffle
90,riffle
128,riffle
90,riffle
90,riffle
1024,riffle
128,riffle
90,riffle
128,pool
2,pool
90,pool
2,pool
90,pool
128,pool
90,pool
64,pool
90,pool
90,pool
64,pool
180,pool
90,pool
64,pool
64,pool
128,pool
45,glide
2,glide
128,glide
90,glide
90,glide
128,glide
90,glide
90,glide
90,glide
64,glide
90,glide
128,glide
90,glide
64,glide
64,glide
90,glide
64,glide
90,glide
90,glide
64,glide
45,glide
64,glide
128,glide
2,glide
90,glide
45,glide
128,glide
45,glide
64,glide
2,glide
128,glide
90,glide
90,glide
90,glide
90,glide
2,glide
45,glide
90,glide
32,glide
90,glide
90,glide
64,glide
128,glide
2,glide
128,glide
90,glide
2,glide
90,glide
64,glide
2,glide
32,glide
64,glide
64,glide
32,glide
64,glide
64,glide
32,glide
22,glide
2,glide
